<X> <Y>
2.369170540000000e-02 3.472319824218750e+03
2.538797240000000e-02 3.352489990234375e+03
2.708423930000000e-02 3.228458984375000e+03
2.878050620000000e-02 3.100906250000000e+03
3.047677310000000e-02 2.970520019531250e+03
3.217304010000000e-02 2.837982177734375e+03
3.386930700000000e-02 2.703972900390625e+03
3.556557390000000e-02 2.569156982421875e+03
3.726184080000000e-02 2.434183593750000e+03
3.895810770000000e-02 2.299680664062500e+03
4.065437470000000e-02 2.166247558593750e+03
4.235064160000000e-02 2.034456420898438e+03
4.404690850000000e-02 1.904844360351562e+03
4.574317540000000e-02 1.777911499023438e+03
4.743944240000000e-02 1.654118041992188e+03
4.913570930000000e-02 1.533882934570312e+03
5.083197620000000e-02 1.417581787109375e+03
5.252824310000000e-02 1.305545043945312e+03
5.422451000000000e-02 1.198057250976562e+03
5.592077700000000e-02 1.095357299804688e+03
5.761704390000000e-02 9.976392211914062e+02
5.931331080000000e-02 9.050509643554688e+02
6.100957770000000e-02 8.176974487304688e+02
6.270584460000000e-02 7.356398315429688e+02
6.440211160000001e-02 6.588995361328125e+02
6.609837850000000e-02 5.874590454101562e+02
6.779464540000001e-02 5.212644653320312e+02
6.949091230000000e-02 4.602284851074219e+02
7.118717930000000e-02 4.042326965332031e+02
7.288344619999999e-02 3.531309509277344e+02
7.457971310000000e-02 3.067529907226562e+02
7.627597999999999e-02 2.649063110351562e+02
7.797224690000000e-02 2.273803405761719e+02
7.966851390000000e-02 1.939493865966797e+02
8.136478079999999e-02 1.643759918212891e+02
8.306104770000000e-02 1.384136657714844e+02
8.475731459999999e-02 1.158101577758789e+02
8.645358160000000e-02 9.631003570556641e+01
8.814984850000000e-02 7.965770721435547e+01
8.984611540000000e-02 6.559950256347656e+01
9.154238230000000e-02 5.388626098632812e+01
9.323864920000000e-02 4.427539443969727e+01
9.493491620000000e-02 3.653239440917969e+01
9.663118310000000e-02 3.043278503417969e+01
9.832745000000000e-02 2.576329040527344e+01
1.000237170000000e-01 2.232307243347168e+01
1.017199840000000e-01 1.992451667785645e+01
1.017296380000000e-01 1.991350173950195e+01
1.034162510000000e-01 1.839392852783203e+01
1.051125180000000e-01 1.757198905944824e+01
1.068087850000000e-01 1.731392860412598e+01
1.072352140000000e-01 1.732206344604492e+01
1.085050520000000e-01 1.748959159851074e+01
1.102013180000000e-01 1.798328208923340e+01
1.118975850000000e-01 1.869342613220215e+01
1.127407900000000e-01 1.909924697875977e+01
1.135938520000000e-01 1.953215026855469e+01
1.152901190000000e-01 2.042465591430664e+01
1.169863860000000e-01 2.130854034423828e+01
1.182463650000000e-01 2.192902946472168e+01
1.186826530000000e-01 2.213300895690918e+01
1.203789200000000e-01 2.285803031921387e+01
1.220751870000000e-01 2.345339965820312e+01
1.237519410000000e-01 2.389363098144531e+01
1.237714540000000e-01 2.389782524108887e+01
1.254677210000000e-01 2.417794609069824e+01
1.271639880000000e-01 2.428738403320312e+01
1.288602550000000e-01 2.422578811645508e+01
1.292575170000000e-01 2.418706130981445e+01
1.305565220000000e-01 2.399789619445801e+01
1.322527880000000e-01 2.361265563964844e+01
1.339490550000000e-01 2.308237457275391e+01
1.347630920000000e-01 2.278068733215332e+01
1.356453220000000e-01 2.242194938659668e+01
1.373415890000000e-01 2.164808464050293e+01
1.390378560000000e-01 2.077867317199707e+01
1.402686680000000e-01 2.009851455688477e+01
1.407341230000000e-01 1.983219528198242e+01
1.424303900000000e-01 1.882715225219727e+01
1.441266570000000e-01 1.778167343139648e+01
1.457742440000000e-01 1.674389648437500e+01
1.458229240000000e-01 1.671306037902832e+01
1.475191910000000e-01 1.563754653930664e+01
1.492154580000000e-01 1.456997394561768e+01
1.509117250000000e-01 1.352369308471680e+01
1.512798200000000e-01 1.330061531066895e+01
1.526079920000000e-01 1.251032733917236e+01
1.543042580000000e-01 1.153981685638428e+01
1.560005250000000e-01 1.062029170989990e+01
1.567853950000000e-01 1.021392154693604e+01
1.576967920000000e-01 9.758158683776855e+00
1.593930590000000e-01 8.958132743835449e+00
1.610893260000000e-01 8.223292350769043e+00
1.622909710000000e-01 7.743110656738281e+00
1.627855930000000e-01 7.555253028869629e+00
1.644818600000000e-01 6.954237937927246e+00
1.661781270000000e-01 6.419272899627686e+00
1.677965470000000e-01 5.968553543090820e+00
1.678743940000000e-01 5.948301315307617e+00
1.695706610000000e-01 5.538382530212402e+00
1.712669280000000e-01 5.185824871063232e+00
1.729631950000000e-01 4.886355400085449e+00
1.733021220000000e-01 4.832476139068604e+00
1.746594610000000e-01 4.635288238525391e+00
1.763557280000000e-01 4.427640914916992e+00
1.780519950000000e-01 4.258294582366943e+00
1.788076980000000e-01 4.193828582763672e+00
1.797482620000000e-01 4.122097969055176e+00
1.814445290000000e-01 4.013990402221680e+00
1.831407960000000e-01 3.929079294204712e+00
1.843132740000000e-01 3.881510019302368e+00
1.848370630000000e-01 3.862740039825439e+00
1.865333300000000e-01 3.810657978057861e+00
1.882295970000000e-01 3.768893480300903e+00
1.898188500000000e-01 3.735979318618774e+00
1.899258640000000e-01 3.733910560607910e+00
1.916221310000000e-01 3.702601432800293e+00
1.933183980000000e-01 3.672299623489380e+00
1.950146650000000e-01 3.640772581100464e+00
1.953244250000000e-01 3.634734630584717e+00
1.967109310000000e-01 3.606216907501221e+00
1.984071980000000e-01 3.567242383956909e+00
2.008300010000000e-01 3.501990079879761e+00
2.009515990000000e-01 3.498388767242432e+00
2.034959990000000e-01 3.415472984313965e+00
2.051922660000000e-01 3.352128505706787e+00
2.063355770000000e-01 3.305880308151245e+00
2.068885330000000e-01 3.282523393630981e+00
2.085848000000000e-01 3.207061052322388e+00
2.102810670000000e-01 3.126308679580688e+00
2.118411520000000e-01 3.047965049743652e+00
2.119773340000000e-01 3.040961742401123e+00
2.136736010000000e-01 2.951807260513306e+00
2.162180010000000e-01 2.812801837921143e+00
2.173467280000000e-01 2.749776124954224e+00
2.187624010000000e-01 2.670093536376953e+00
2.204586680000000e-01 2.574337005615234e+00
2.221549350000000e-01 2.479040861129761e+00
2.228523040000000e-01 2.440174102783203e+00
2.238512020000000e-01 2.384958982467651e+00
2.263956030000000e-01 2.247590303421021e+00
2.283578800000000e-01 2.145808219909668e+00
2.289400030000000e-01 2.116436243057251e+00
2.306362700000000e-01 2.033222675323486e+00
2.323325370000000e-01 1.953791141510010e+00
2.338634550000000e-01 1.885561108589172e+00
2.348769370000000e-01 1.842260718345642e+00
2.374213380000000e-01 1.740265846252441e+00
2.391176050000000e-01 1.677631616592407e+00
2.393690310000000e-01 1.668709874153137e+00
2.416620050000000e-01 1.591586589813232e+00
2.442064050000000e-01 1.514634728431702e+00
2.448746070000000e-01 1.495856642723083e+00
2.459026720000000e-01 1.468072772026062e+00
2.484470730000000e-01 1.404755473136902e+00
2.503801820000000e-01 1.361405014991760e+00
2.509914730000000e-01 1.348476409912109e+00
2.526877400000000e-01 1.314400792121887e+00
2.552321400000000e-01 1.267744064331055e+00
2.558857580000000e-01 1.256524085998535e+00
2.577765410000000e-01 1.225600957870483e+00
2.603209410000000e-01 1.187085032463074e+00
2.613913340000000e-01 1.171768665313721e+00
2.628653410000000e-01 1.151393651962280e+00
2.645616080000000e-01 1.128816485404968e+00
2.668969090000000e-01 1.098944306373596e+00
2.671060090000000e-01 1.096325755119324e+00
2.696504090000000e-01 1.065036177635193e+00
2.721948090000000e-01 1.034549236297607e+00
2.724024850000000e-01 1.032086491584778e+00
2.747392100000000e-01 1.004575610160828e+00
2.772836100000000e-01 9.749252200126648e-01
2.779080610000000e-01 9.676847457885742e-01
2.798280110000000e-01 9.454966187477112e-01
2.823724110000000e-01 9.162613153457642e-01
2.834136370000000e-01 9.043591022491455e-01
2.849168110000000e-01 8.872502446174622e-01
2.874612120000000e-01 8.585371375083923e-01
2.889192120000000e-01 8.422579765319824e-01
2.908537460000000e-01 8.209005594253540e-01
2.933981460000000e-01 7.933177351951599e-01
2.944247880000000e-01 7.823773026466370e-01
2.959425460000000e-01 7.664279937744141e-01
2.984869470000000e-01 7.403515577316284e-01
2.999303640000000e-01 7.259613871574402e-01
3.010313470000000e-01 7.151945233345032e-01
3.044238810000000e-01 6.832291483879089e-01
3.054359390000000e-01 6.740623712539673e-01
3.069682810000000e-01 6.605158448219299e-01
3.095126820000000e-01 6.389207243919373e-01
3.109415150000000e-01 6.272884011268616e-01
3.129052160000000e-01 6.118772625923157e-01
3.154496160000000e-01 5.928826928138733e-01
3.164470910000000e-01 5.857284069061279e-01
3.179940160000000e-01 5.749475955963135e-01
