ALV-7004/USB
Date :	"08.06.2022"
Time :	"15:08:38"
Samplename : 	"Samplename needed."
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     297.94026
Viscosity [cp]  :	       0.89447
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      80.00000
Duration [s]    :	        10
FloatDur [ms]   :	         9961
Stop TP [ms]   :	  16777216
Runs            :	         1
Mode            :	"C-CH0/1+1/0"
MeanCR0 [kHz]   :	     373.45325
MeanCR1 [kHz]   :	     379.44163
MeanCR2 [kHz]   :	       0.00000
MeanCR3 [kHz]   :	       0.00000

"Correlation"
  2.50000E-005	  2.71836E+000	  2.72086E+000	  0.00000E+000	  0.00000E+000
  5.00000E-005	  2.71000E+000	  2.71899E+000	  0.00000E+000	  0.00000E+000
  7.50000E-005	  2.71830E+000	  2.70933E+000	  0.00000E+000	  0.00000E+000
  1.00000E-004	  2.73002E+000	  2.74047E+000	  0.00000E+000	  0.00000E+000
  1.25000E-004	  2.73489E+000	  2.72758E+000	  0.00000E+000	  0.00000E+000
  1.50000E-004	  2.71754E+000	  2.73033E+000	  0.00000E+000	  0.00000E+000
  1.75000E-004	  2.71728E+000	  2.72235E+000	  0.00000E+000	  0.00000E+000
  2.00000E-004	  2.71742E+000	  2.72905E+000	  0.00000E+000	  0.00000E+000
  2.25000E-004	  2.70819E+000	  2.70202E+000	  0.00000E+000	  0.00000E+000
  2.50000E-004	  2.71871E+000	  2.72189E+000	  0.00000E+000	  0.00000E+000
  2.75000E-004	  2.72615E+000	  2.73256E+000	  0.00000E+000	  0.00000E+000
  3.00000E-004	  2.70220E+000	  2.69036E+000	  0.00000E+000	  0.00000E+000
  3.25000E-004	  2.72011E+000	  2.69919E+000	  0.00000E+000	  0.00000E+000
  3.50000E-004	  2.71762E+000	  2.71419E+000	  0.00000E+000	  0.00000E+000
  3.75000E-004	  2.72299E+000	  2.70770E+000	  0.00000E+000	  0.00000E+000
  4.00000E-004	  2.71748E+000	  2.71284E+000	  0.00000E+000	  0.00000E+000
  4.50000E-004	  2.71783E+000	  2.71536E+000	  0.00000E+000	  0.00000E+000
  5.00000E-004	  2.71125E+000	  2.71559E+000	  0.00000E+000	  0.00000E+000
  5.50000E-004	  2.71469E+000	  2.71618E+000	  0.00000E+000	  0.00000E+000
  6.00000E-004	  2.71328E+000	  2.71714E+000	  0.00000E+000	  0.00000E+000
  6.50000E-004	  2.70656E+000	  2.70460E+000	  0.00000E+000	  0.00000E+000
  7.00000E-004	  2.71590E+000	  2.71618E+000	  0.00000E+000	  0.00000E+000
  7.50000E-004	  2.72311E+000	  2.72236E+000	  0.00000E+000	  0.00000E+000
  8.00000E-004	  2.71400E+000	  2.71083E+000	  0.00000E+000	  0.00000E+000
  9.00000E-004	  2.71220E+000	  2.71408E+000	  0.00000E+000	  0.00000E+000
  1.00000E-003	  2.70433E+000	  2.69712E+000	  0.00000E+000	  0.00000E+000
  1.10000E-003	  2.72040E+000	  2.71779E+000	  0.00000E+000	  0.00000E+000
  1.20000E-003	  2.72163E+000	  2.72077E+000	  0.00000E+000	  0.00000E+000
  1.30000E-003	  2.71357E+000	  2.70544E+000	  0.00000E+000	  0.00000E+000
  1.40000E-003	  2.71247E+000	  2.71823E+000	  0.00000E+000	  0.00000E+000
  1.50000E-003	  2.70871E+000	  2.70415E+000	  0.00000E+000	  0.00000E+000
  1.60000E-003	  2.71338E+000	  2.71118E+000	  0.00000E+000	  0.00000E+000
  1.80000E-003	  2.70637E+000	  2.70463E+000	  0.00000E+000	  0.00000E+000
  2.00000E-003	  2.70864E+000	  2.70681E+000	  0.00000E+000	  0.00000E+000
  2.20000E-003	  2.71105E+000	  2.71235E+000	  0.00000E+000	  0.00000E+000
  2.40000E-003	  2.70824E+000	  2.70622E+000	  0.00000E+000	  0.00000E+000
  2.60000E-003	  2.70167E+000	  2.70132E+000	  0.00000E+000	  0.00000E+000
  2.80000E-003	  2.70770E+000	  2.71158E+000	  0.00000E+000	  0.00000E+000
  3.00000E-003	  2.70822E+000	  2.71247E+000	  0.00000E+000	  0.00000E+000
  3.20000E-003	  2.70481E+000	  2.70411E+000	  0.00000E+000	  0.00000E+000
  3.60000E-003	  2.70232E+000	  2.70734E+000	  0.00000E+000	  0.00000E+000
  4.00000E-003	  2.69931E+000	  2.69921E+000	  0.00000E+000	  0.00000E+000
  4.40000E-003	  2.69883E+000	  2.69654E+000	  0.00000E+000	  0.00000E+000
  4.80000E-003	  2.69884E+000	  2.69762E+000	  0.00000E+000	  0.00000E+000
  5.20000E-003	  2.69552E+000	  2.69967E+000	  0.00000E+000	  0.00000E+000
  5.60000E-003	  2.69359E+000	  2.69596E+000	  0.00000E+000	  0.00000E+000
  6.00000E-003	  2.68977E+000	  2.68908E+000	  0.00000E+000	  0.00000E+000
  6.40000E-003	  2.68984E+000	  2.68854E+000	  0.00000E+000	  0.00000E+000
  7.20000E-003	  2.68278E+000	  2.68248E+000	  0.00000E+000	  0.00000E+000
  8.00000E-003	  2.68168E+000	  2.68197E+000	  0.00000E+000	  0.00000E+000
  8.80000E-003	  2.67870E+000	  2.67861E+000	  0.00000E+000	  0.00000E+000
  9.60000E-003	  2.67453E+000	  2.67694E+000	  0.00000E+000	  0.00000E+000
