<X> <Y>
1.271639880000000e-01 2.299550537109375e+03
1.288602550000000e-01 2.223284667968750e+03
1.292575170000000e-01 2.205619873046875e+03
1.305565220000000e-01 2.148385742187500e+03
1.322527880000000e-01 2.074880371093750e+03
1.339490550000000e-01 2.002789794921875e+03
1.347630920000000e-01 1.968702880859375e+03
1.356453220000000e-01 1.932136352539062e+03
1.373415890000000e-01 1.862937377929688e+03
1.390378560000000e-01 1.795209106445312e+03
1.402686680000000e-01 1.746995117187500e+03
1.407341230000000e-01 1.728966796875000e+03
1.424303900000000e-01 1.664220336914062e+03
1.441266570000000e-01 1.600981079101562e+03
1.457742440000000e-01 1.541005859375000e+03
1.458229240000000e-01 1.539255615234375e+03
1.475191910000000e-01 1.479049194335938e+03
1.492154580000000e-01 1.420365356445312e+03
1.509117250000000e-01 1.363206665039062e+03
1.512798200000000e-01 1.351003662109375e+03
1.526079920000000e-01 1.307570800781250e+03
1.543042580000000e-01 1.253456665039062e+03
1.560005250000000e-01 1.200859497070312e+03
1.567853950000000e-01 1.177034423828125e+03
1.576967920000000e-01 1.149773559570312e+03
1.593930590000000e-01 1.100192016601562e+03
1.610893260000000e-01 1.052104248046875e+03
1.622909710000000e-01 1.018936584472656e+03
1.627855930000000e-01 1.005499877929688e+03
1.644818600000000e-01 9.603666381835938e+02
1.661781270000000e-01 9.166910400390625e+02
1.677965470000000e-01 8.763638916015625e+02
1.678743940000000e-01 8.744570922851562e+02
1.695706610000000e-01 8.336488037109375e+02
1.712669280000000e-01 7.942478637695312e+02
1.729631950000000e-01 7.562353515625000e+02
1.733021220000000e-01 7.488048706054688e+02
1.746594610000000e-01 7.195916748046875e+02
1.763557280000000e-01 6.842949218750000e+02
1.780519950000000e-01 6.503235473632812e+02
1.788076980000000e-01 6.356093750000000e+02
1.797482620000000e-01 6.176536865234375e+02
1.814445290000000e-01 5.862620239257812e+02
1.831407960000000e-01 5.561232910156250e+02
1.843132740000000e-01 5.360103149414062e+02
1.848370630000000e-01 5.272122802734375e+02
1.865333300000000e-01 4.995028686523438e+02
1.882295970000000e-01 4.729682617187500e+02
1.898188500000000e-01 4.491492614746094e+02
1.899258640000000e-01 4.475810852050781e+02
1.916221310000000e-01 4.233135986328125e+02
1.933183980000000e-01 4.001380920410156e+02
1.950146650000000e-01 3.780254821777344e+02
1.953244250000000e-01 3.741001892089844e+02
1.967109310000000e-01 3.569476318359375e+02
1.984071980000000e-01 3.368751525878906e+02
2.008300010000000e-01 3.098914489746094e+02
2.009515990000000e-01 3.085879211425781e+02
2.034959990000000e-01 2.823990478515625e+02
2.051922660000000e-01 2.660564575195312e+02
2.063355770000000e-01 2.555278625488281e+02
2.068885330000000e-01 2.505732574462891e+02
2.085848000000000e-01 2.359200744628906e+02
2.102810670000000e-01 2.220679321289062e+02
2.118411520000000e-01 2.100105285644531e+02
2.119773340000000e-01 2.089882812500000e+02
2.136736010000000e-01 1.966521911621094e+02
2.162180010000000e-01 1.794807586669922e+02
2.173467280000000e-01 1.723539581298828e+02
2.187624010000000e-01 1.638245239257812e+02
2.204586680000000e-01 1.541830902099609e+02
2.221549350000000e-01 1.451472930908203e+02
2.228523040000000e-01 1.416018524169922e+02
2.238512020000000e-01 1.366903533935547e+02
2.263956030000000e-01 1.250339965820312e+02
2.283578800000000e-01 1.168403778076172e+02
2.289400030000000e-01 1.145365600585938e+02
2.306362700000000e-01 1.081410598754883e+02
2.323325370000000e-01 1.021998519897461e+02
2.338634550000000e-01 9.720848083496094e+01
2.348769370000000e-01 9.408921813964844e+01
2.374213380000000e-01 8.687246704101562e+01
2.391176050000000e-01 8.252181243896484e+01
2.393690310000000e-01 8.190672302246094e+01
2.416620050000000e-01 7.663461303710938e+01
2.442064050000000e-01 7.145418548583984e+01
2.448746070000000e-01 7.020275878906250e+01
2.459026720000000e-01 6.836132812500000e+01
2.484470730000000e-01 6.421770477294922e+01
2.503801820000000e-01 6.143553543090820e+01
2.509914730000000e-01 6.061701965332031e+01
2.526877400000000e-01 5.849070739746094e+01
2.552321400000000e-01 5.567363357543945e+01
2.558857580000000e-01 5.501689910888672e+01
2.577765410000000e-01 5.325934219360352e+01
2.603209410000000e-01 5.120135498046875e+01
2.613913340000000e-01 5.043149948120117e+01
2.628653410000000e-01 4.945637130737305e+01
2.645616080000000e-01 4.844699478149414e+01
2.668969090000000e-01 4.723526000976562e+01
2.671060090000000e-01 4.713600921630859e+01
2.696504090000000e-01 4.603774261474609e+01
2.721948090000000e-01 4.512005615234375e+01
2.724024850000000e-01 4.505219268798828e+01
2.747392100000000e-01 4.435359573364258e+01
2.772836100000000e-01 4.371173858642578e+01
2.779080610000000e-01 4.357044982910156e+01
2.798280110000000e-01 4.317043685913086e+01
2.823724110000000e-01 4.270811843872070e+01
2.834136370000000e-01 4.253718185424805e+01
2.849168110000000e-01 4.230558013916016e+01
2.874612120000000e-01 4.194581604003906e+01
2.889192120000000e-01 4.175308227539062e+01
2.908537460000000e-01 4.150717544555664e+01
2.933981460000000e-01 4.119261169433594e+01
2.944247880000000e-01 4.106636428833008e+01
2.959425460000000e-01 4.087854766845703e+01
2.984869470000000e-01 4.055612182617188e+01
2.999303640000000e-01 4.036664962768555e+01
3.010313470000000e-01 4.021800613403320e+01
3.044238810000000e-01 3.973273849487305e+01
3.054359390000000e-01 3.957889175415039e+01
3.069682810000000e-01 3.933718872070312e+01
3.095126820000000e-01 3.891101455688477e+01
3.109415150000000e-01 3.865744018554688e+01
3.129052160000000e-01 3.829166030883789e+01
3.154496160000000e-01 3.778746795654297e+01
3.164470910000000e-01 3.758044815063477e+01
3.179940160000000e-01 3.724902725219727e+01
3.213865500000000e-01 3.647885894775391e+01
3.219526670000000e-01 3.634469223022461e+01
3.247790840000000e-01 3.565166854858398e+01
3.273234840000000e-01 3.499639129638672e+01
3.274582420000000e-01 3.496090316772461e+01
3.298678850000000e-01 3.431366348266602e+01
3.329638180000000e-01 3.344960784912109e+01
3.332604190000000e-01 3.336508178710938e+01
3.366529530000000e-01 3.237879562377930e+01
3.384693940000000e-01 3.183766365051270e+01
3.400454860000000e-01 3.136184501647949e+01
3.434380200000000e-01 3.032146263122559e+01
3.439749690000000e-01 3.015513801574707e+01
3.459824210000000e-01 2.953017997741699e+01
3.485268210000000e-01 2.873283004760742e+01
3.494805450000000e-01 2.843301200866699e+01
3.519193550000000e-01 2.766538047790527e+01
3.549861210000000e-01 2.670124816894531e+01
3.553118890000000e-01 2.659908485412598e+01
3.587044230000000e-01 2.554026412963867e+01
3.604916970000000e-01 2.498742485046387e+01
3.620969560000000e-01 2.449467658996582e+01
3.654894900000000e-01 2.346757316589355e+01
3.659972720000000e-01 2.331571197509766e+01
3.688820240000000e-01 2.246358108520508e+01
3.715028480000000e-01 2.170638847351074e+01
3.722745580000000e-01 2.148676300048828e+01
3.756670920000000e-01 2.054052543640137e+01
3.770084240000000e-01 2.017548370361328e+01
3.790596260000000e-01 1.962770843505859e+01
3.824521590000000e-01 1.875051498413086e+01
3.825139990000000e-01 1.873486900329590e+01
3.858446930000000e-01 1.791063499450684e+01
3.880195750000000e-01 1.739238929748535e+01
3.892372270000000e-01 1.710920906066895e+01
3.934778940000000e-01 1.616244125366211e+01
3.935251510000000e-01 1.615223503112793e+01
3.977185620000000e-01 1.527704143524170e+01
3.990307270000000e-01 1.501542663574219e+01
4.011110960000000e-01 1.461248779296875e+01
4.045036290000000e-01 1.398610210418701e+01
4.045363020000000e-01 1.398025131225586e+01
4.078961630000000e-01 1.339688491821289e+01
4.100418780000000e-01 1.304285430908203e+01
4.121368310000000e-01 1.271072673797607e+01
4.155474540000000e-01 1.219768428802490e+01
4.163774980000000e-01 1.207786369323730e+01
4.197700320000000e-01 1.160781669616699e+01
4.210530290000000e-01 1.143805694580078e+01
4.231625660000000e-01 1.116810989379883e+01
4.265586050000000e-01 1.075652599334717e+01
4.274032330000000e-01 1.065839004516602e+01
4.316439000000000e-01 1.018966579437256e+01
4.320641810000000e-01 1.014531040191650e+01
4.350364340000000e-01 9.841797828674316e+00
4.375697570000000e-01 9.596567153930664e+00
4.392771010000000e-01 9.437886238098145e+00
4.430753320000000e-01 9.102701187133789e+00
4.435177690000000e-01 9.065171241760254e+00
4.477584360000000e-01 8.720400810241699e+00
4.485809080000000e-01 8.656505584716797e+00
4.519991030000000e-01 8.400527000427246e+00
4.540864840000000e-01 8.251348495483398e+00
4.562397710000000e-01 8.102724075317383e+00
4.595920590000000e-01 7.881210803985596e+00
4.604804380000000e-01 7.824396133422852e+00
4.647211050000000e-01 7.563201904296875e+00
4.650976350000000e-01 7.540768623352051e+00
4.689617720000000e-01 7.317039489746094e+00
4.706032110000000e-01 7.225386619567871e+00
4.732024400000000e-01 7.084040164947510e+00
4.761087870000000e-01 6.931100368499756e+00
4.774431070000000e-01 6.862567901611328e+00
4.816143620000000e-01 6.654584407806396e+00
4.816837740000000e-01 6.651199817657471e+00
4.867725750000000e-01 6.409192085266113e+00
4.871199380000000e-01 6.393091201782227e+00
4.910132420000000e-01 6.216017246246338e+00
4.926255140000000e-01 6.144402980804443e+00
4.952539100000000e-01 6.029663562774658e+00
4.981310890000000e-01 5.906753540039062e+00
5.003427100000000e-01 5.814074993133545e+00
5.036366650000000e-01 5.678781032562256e+00
5.045833780000000e-01 5.640475273132324e+00
5.088240450000000e-01 5.471908569335938e+00
5.091422410000001e-01 5.459454059600830e+00
5.139128460000000e-01 5.275807857513428e+00
5.146478170000000e-01 5.248017787933350e+00
5.190016470000000e-01 5.086048603057861e+00
5.201533920000000e-01 5.043946266174316e+00
5.240904470000000e-01 4.902328014373779e+00
5.256589680000000e-01 4.846887111663818e+00
5.291792480000000e-01 4.724459648132324e+00
5.311645440000000e-01 4.656628608703613e+00
5.334199150000000e-01 4.580621719360352e+00
5.366701189999999e-01 4.473053932189941e+00
5.376605830000000e-01 4.440733909606934e+00
5.421756950000000e-01 4.296125888824463e+00
5.427493839999999e-01 4.278070926666260e+00
5.476812710000000e-01 4.125840663909912e+00
5.478381840000000e-01 4.121086120605469e+00
5.529269850000000e-01 3.969800710678101e+00
5.531868460000000e-01 3.962227821350098e+00
5.580157860000000e-01 3.824231147766113e+00
5.586924220000000e-01 3.805306196212769e+00
5.631045870000000e-01 3.684392452239990e+00
5.641979980000000e-01 3.655092477798462e+00
5.681933870000000e-01 3.550279617309570e+00
5.697035740000000e-01 3.511577606201172e+00
5.741303220000000e-01 3.401013612747192e+00
5.752091490000000e-01 3.374716043472290e+00
5.800672560000000e-01 3.259408712387085e+00
5.807147250000000e-01 3.244424819946289e+00
5.851560570000000e-01 3.144022226333618e+00
5.862203010000000e-01 3.120577812194824e+00
5.902448570000000e-01 3.034028530120850e+00
5.917258760000000e-01 3.003005743026733e+00
5.953336580000000e-01 2.929264783859253e+00
5.972314520000001e-01 2.891496658325195e+00
6.012705920000000e-01 2.813398599624634e+00
6.027370280000000e-01 2.785797119140625e+00
6.072075270000000e-01 2.704048156738281e+00
6.082426040000000e-01 2.685621976852417e+00
6.122963270000000e-01 2.615213632583618e+00
6.137481790000000e-01 2.590657949447632e+00
6.182332620000000e-01 2.516919612884521e+00
6.192537550000000e-01 2.500574827194214e+00
6.241701960000000e-01 2.423976182937622e+00
6.247593310000000e-01 2.415028095245361e+00
6.292589970000000e-01 2.348241090774536e+00
6.302649060000000e-01 2.333675622940063e+00
6.351959310000000e-01 2.264094829559326e+00
6.357704820000000e-01 2.256177663803101e+00
6.411328650000000e-01 2.184095382690430e+00
6.412760580000000e-01 2.182214260101318e+00
6.467816340000000e-01 2.111484766006470e+00
6.470697989999999e-01 2.107866048812866e+00
6.522872090000000e-01 2.043714523315430e+00
6.530067330000000e-01 2.035063505172729e+00
6.577927850000000e-01 1.978660702705383e+00
6.589436680000000e-01 1.965386152267456e+00
6.632983609999999e-01 1.916115880012512e+00
6.657287350000000e-01 1.889257550239563e+00
6.688039360000000e-01 1.855903625488281e+00
6.716656700000000e-01 1.825477838516235e+00
6.743095120000000e-01 1.797880411148071e+00
6.776026040000001e-01 1.764172792434692e+00
6.798150880000000e-01 1.741933345794678e+00
6.843876710000000e-01 1.696984052658081e+00
6.853206640000000e-01 1.687977910041809e+00
6.903246060000000e-01 1.640609979629517e+00
6.935790270000000e-01 1.610638618469238e+00
6.962615400000000e-01 1.586422681808472e+00
